x (m),u (m)
0.0,0.0
0.005025125628140704,4.191418881894689e-09
0.010050251256281407,8.477547368752825e-09
0.01507537688442211,1.295764407341044e-08
0.020100502512562814,1.773955361412006e-08
0.02512562814070352,2.2942777497454735e-08
0.03015075376884422,2.8700234152871614e-08
0.035175879396984924,3.5158512020354335e-08
0.04020100502512563,4.247659082922117e-08
0.04522613065326633,5.082318069486842e-08
0.05025125628140704,6.03729864395915e-08
0.05527638190954774,7.130232720044297e-08
0.06030150753768844,8.378461407784238e-08
0.06532663316582915,9.798620170222711e-08
0.07035175879396985,1.1406307994022165e-07
0.07537688442211056,1.321587631987121e-07
0.08040201005025126,1.5240357725481794e-07
0.08542713567839195,1.7491535333282589e-07
0.09045226130653267,1.9980133657129112e-07
0.09547738693467336,2.271609235855294e-07
0.10050251256281408,2.570886839605438e-07
0.10552763819095477,2.8967701321082364e-07
0.11055276381909548,3.2501772543660984e-07
0.11557788944723618,3.6320193166962813e-07
0.12060301507537688,4.0431766629961595e-07
0.12562814070351758,4.48444912599436e-07
0.1306532663316583,4.956479251616271e-07
0.135678391959799,5.459650313912021e-07
0.1407035175879397,5.993963906194168e-07
0.1457286432160804,6.558904699183946e-07
0.15075376884422112,7.153302323551589e-07
0.15577889447236182,7.77520200969557e-07
0.16080402010050251,8.421756401058598e-07
0.1658291457286432,9.089150720061002e-07
0.1708542713567839,9.772572165708985e-07
0.17587939698492464,1.046623211014114e-06
0.18090452261306533,1.1163446480230374e-06
0.18592964824120603,1.1856775883476921e-06
0.19095477386934673,1.2538222851857402e-06
0.19597989949748745,1.3199479359683806e-06
0.20100502512562815,1.3832213860357418e-06
0.20603015075376885,1.44283838032657e-06
0.21105527638190955,1.498055721162789e-06
0.21608040201005024,1.5482225630788798e-06
0.22110552763819097,1.592809071218458e-06
0.22613065326633167,1.6314307900115248e-06
0.23115577889447236,1.6638673054930148e-06
0.23618090452261306,1.6900741201620891e-06
0.24120603015075376,1.7101870682463547e-06
0.24623115577889448,1.7245190504430925e-06
0.25125628140703515,1.7335493264343763e-06
0.2562814070351759,1.737906036362713e-06
0.2613065326633166,1.7383429974313466e-06
0.2663316582914573,1.735712112678484e-06
0.271356783919598,1.7309329170951073e-06
0.2763819095477387,1.7249608618634563e-06
0.2814070351758794,1.718755900365014e-06
0.2864321608040201,1.713252798790886e-06
0.2914572864321608,1.7093343669271346e-06
0.2964824120603015,1.7078085146373554e-06
0.30150753768844224,1.7093897144736566e-06
0.3065326633165829,1.7146851199315952e-06
0.31155778894472363,1.724185280120311e-06
0.3165829145728643,1.7382591293211411e-06
0.32160804020100503,1.7571527325301864e-06
0.32663316582914576,1.7809911468171355e-06
0.3316582914572864,1.809782716354418e-06
0.33668341708542715,1.8434251514627596e-06
0.3417085427135678,1.8817128369886826e-06
0.34673366834170855,1.9243449550857376e-06
0.35175879396984927,1.9709341706228912e-06
0.35678391959798994,2.0210157912121483e-06
0.36180904522613067,2.074057456464398e-06
0.36683417085427134,2.129469514035747e-06
0.37185929648241206,2.1866162899390466e-06
0.3768844221105528,2.2448284505542206e-06
0.38190954773869346,2.3034165839871372e-06
0.3869346733668342,2.361686006160487e-06
0.3919597989949749,2.418952635795856e-06
0.3969849246231156,2.4745596006293607e-06
0.4020100502512563,2.527894056093191e-06
0.40703517587939697,2.578403539318117e-06
0.4120603015075377,2.6256110661343187e-06
0.4170854271356784,2.669128123537638e-06
0.4221105527638191,2.7086647261306054e-06
0.4271356783919598,2.7440357968878974e-06
0.4321608040201005,2.77516329744001e-06
0.4371859296482412,2.802073760888798e-06
0.44221105527638194,2.8248911545141597e-06
0.4472361809045226,2.843825299165035e-06
0.45226130653266333,2.8591563721485406e-06
0.457286432160804,2.8712162957045362e-06
0.4623115577889447,2.880368039836373e-06
0.46733668341708545,2.8869840262138067e-06
0.4723618090452261,2.891424894487454e-06
0.47738693467336685,2.894019876003352e-06
0.4824120603015075,2.8950499125951648e-06
0.48743718592964824,2.8947344675778613e-06
0.49246231155778897,2.8932227170308322e-06
0.49748743718592964,2.8905895024497916e-06
0.5025125628140703,2.886836095317389e-06
0.507537688442211,2.8818954963408605e-06
0.5125628140703518,2.8756416927852466e-06
0.5175879396984925,2.8679020495308557e-06
0.5226130653266332,2.858471831571244e-06
0.5276381909547738,2.8471297598293667e-06
0.5326633165829145,2.8336534934710454e-06
0.5376884422110553,2.8178340079940166e-06
0.542713567839196,2.7994879898892186e-06
0.5477386934673367,2.7784675801864094e-06
0.5527638190954774,2.7546670507462366e-06
0.5577889447236181,2.7280262661150726e-06
0.5628140703517588,2.698531046877861e-06
0.5678391959798995,2.6662107859347297e-06
0.5728643216080402,2.6311338585074226e-06
0.577889447236181,2.5934014962900825e-06
0.5829145728643216,2.5531408581809232e-06
0.5879396984924623,2.5104980229628344e-06
0.592964824120603,2.465631557825627e-06
0.5979899497487438,2.4187071909310873e-06
0.6030150753768845,2.3698939508573488e-06
0.6080402010050251,2.3193619481074095e-06
0.6130653266331658,2.2672817824508194e-06
0.6180904522613065,2.2138253826045154e-06
0.6231155778894473,2.1591679373477194e-06
0.628140703517588,2.1034904717519413e-06
0.6331658291457286,2.0469825664339804e-06
0.6381909547738693,1.9898447142658525e-06
0.6432160804020101,1.9322898554783397e-06
0.6482412060301508,1.8745437217437963e-06
0.6532663316582915,1.8168437421541773e-06
0.6582914572864321,1.7594364060970992e-06
0.6633165829145728,1.7025731258387327e-06
0.6683417085427136,1.646504781380039e-06
0.6733668341708543,1.5914752496467105e-06
0.678391959798995,1.5377143097006447e-06
0.6834170854271356,1.485430369179224e-06
0.6884422110552764,1.4348034720723507e-06
0.6934673366834171,1.385979025453079e-06
0.6984924623115578,1.339062627446556e-06
0.7035175879396985,1.2941162977690678e-06
0.7085427135678392,1.25115631455452e-06
0.7135678391959799,1.2101527565896379e-06
0.7185929648241206,1.1710307478733203e-06
0.7236180904522613,1.1336733097421695e-06
0.7286432160804021,1.0979256508509032e-06
0.7336683417085427,1.063600670836682e-06
0.7386934673366834,1.0304854207284057e-06
0.7437185929648241,9.983482508484813e-07
0.7487437185929648,9.66946381830422e-07
0.7537688442211056,9.360336517644707e-07
0.7587939698492463,9.053682170388997e-07
0.7638190954773869,8.747200109262385e-07
0.7688442211055276,8.438777879504538e-07
0.7738693467336684,8.126556005312735e-07
0.7788944723618091,7.8089856605133e-07
0.7839195979899498,7.484877879037055e-07
0.7889447236180904,7.153442955321001e-07
0.7939698492462312,6.814318695741673e-07
0.7989949748743719,6.467586233070782e-07
0.8040201005025126,6.113772250751366e-07
0.8090452261306533,5.753836719894542e-07
0.8140703517587939,5.389145653413168e-07
0.8190954773869347,5.021428934357998e-07
0.8241206030150754,4.652723963584789e-07
0.8291457286432161,4.2853066577544783e-07
0.8341708542713568,3.9216121551491466e-07
0.8391959798994975,3.5641483819313847e-07
0.8442211055276382,3.215406315605184e-07
0.8492462311557789,2.877771276545135e-07
0.8542713567839196,2.553439813157203e-07
0.8592964824120604,2.2443466702361048e-07
0.864321608040201,1.9521059172838368e-07
0.8693467336683417,1.6779695678379064e-07
0.8743718592964824,1.4228059780281343e-07
0.8793969849246231,1.1870990390568964e-07
0.8844221105527639,9.709677665825477e-08
0.8894472361809045,7.742044512271145e-08
0.8944723618090452,5.963281887317448e-08
0.8994974874371859,4.3664947366006524e-08
0.9045226130653267,2.9434072159255277e-08
0.9095477386934674,1.6850716214936548e-08
0.914572864321608,5.825256713829004e-09
0.9195979899497487,-3.7265245341596045e-09
0.9246231155778895,-1.1879328933685672e-08
0.9296482412060302,-1.869595750213346e-08
0.9346733668341709,-2.4226795379857537e-08
0.9396984924623115,-2.851114085291218e-08
0.9447236180904522,-3.158019386431971e-08
0.949748743718593,-3.346137353606494e-08
0.9547738693467337,-3.41835177564377e-08
0.9597989949748744,-3.378244097842601e-08
0.964824120603015,-3.2306296140297336e-08
0.9698492462311558,-2.9820206015401406e-08
0.9748743718592965,-2.6409696797336735e-08
0.9798994974874372,-2.218257641189229e-08
0.9849246231155779,-1.7269042116940972e-08
0.9899497487437187,-1.181996359286382e-08
0.9949748743718593,-6.003454278013835e-09
1.0,1.974774676916801e-22
